Longitude,Latitude,Year,Month,Avg Capacity (1000 m3/d),Avg Throughput (1000 m3/d),Avg Throughput (GJ/d)
-113.59329,51.80478,2019,11,53515.0,30663.836649561486,1159093.0253534243
-113.59329,51.80478,2019,12,53515.0,33366.56280266312,1261256.0739406657
-113.59329,51.80478,2020,1,53515.0,38051.277150279355,1438338.2762805594
-113.59329,51.80478,2020,2,53515.0,34907.57192366567,1319506.2187145622
-113.59329,51.80478,2020,3,53515.0,34881.00881148438,1318502.1330741097
-113.59329,51.80478,2020,4,53515.0,28119.407531638913,1062913.6046959509
-113.59329,51.80478,2020,5,53515.0,22570.435898772805,853162.476973612
-113.59329,51.80478,2020,6,53515.0,22137.988748843647,836815.9747062897
-113.59329,51.80478,2020,7,53515.0,19766.941586939967,747190.3919863306
-113.59329,51.80478,2020,8,53515.0,17378.52345244427,656908.1865023935
-113.59329,51.80478,2020,9,53515.0,20514.524334975595,775449.0198620774
-113.59329,51.80478,2020,10,53515.0,28043.438070695902,1060041.9590723051
-113.59329,51.80478,2020,11,55052.0,31853.12664841481,1204048.1873100798
-113.59329,51.80478,2020,12,55052.0,33837.2176425857,1279046.8268897394
-113.59329,51.80478,2021,1,55052.0,35914.822312576136,1357580.2834153778
-113.59329,51.80478,2021,2,55052.0,39896.195919710866,1508076.2057650706
-113.59329,51.80478,2021,3,55052.0,30904.432836836004,1168187.561232401
-113.59329,51.80478,2021,4,55052.0,27966.397531968898,1057129.8267084241
-113.59329,51.80478,2021,5,55052.0,23417.21977023087,885170.9073147267
-113.59329,51.80478,2021,6,55052.0,22853.898748203654,863877.3726820981
-113.59329,51.80478,2021,7,55052.0,24380.148038810916,921569.5958670526
-113.59329,51.80478,2021,8,55052.0,22917.746033347485,866290.800060535
-113.59329,51.80478,2021,9,55052.0,19501.057672068935,737139.9800042057
-113.59329,51.80478,2021,10,55052.0,26361.96963076042,996482.4520427439
-113.59329,51.80478,2021,11,64700.0,33792.620867974794,1277361.068809447
-113.59329,51.80478,2021,12,64700.0,42569.761775463114,1609136.9951125055
-113.59329,51.80478,2022,1,64700.0,39574.755498834194,1495925.7578559322
-113.59329,51.80478,2022,2,64700.0,38397.12807051086,1451411.4410653103
-113.59329,51.80478,2022,3,64700.0,36176.50023469084,1367471.7088713136
-113.59329,51.80478,2022,4,64700.0,31133.347639388914,1176840.5407689007
-113.59329,51.80478,2022,5,64700.0,27019.352328411514,1021331.5180139551
-113.59329,51.80478,2022,6,64700.0,26449.097369483654,999775.880566482
-113.59329,51.80478,2022,7,64700.0,25845.159241959296,976947.0193460613
-113.59329,51.80478,2022,8,64700.0,26089.04789439261,986166.0104080405
-113.59329,51.80478,2022,9,64700.0,29416.250193975593,1111934.2573322773
-113.59329,51.80478,2022,10,64700.0,31934.36803084334,1207119.1115658781
-113.59329,51.80478,2022,11,66701.0,40787.057538934816,1541750.7749717357
-113.59329,51.80478,2022,12,66701.0,44666.23100418591,1688383.5319582273
-113.59329,51.80478,2023,1,66701.0,41716.730579174364,1576892.4158927908
-113.59329,51.80478,2023,2,66701.0,40471.795798145045,1529833.8811698828
-113.59329,51.80478,2023,3,66701.0,40696.05181095715,1538310.75845418
-113.59329,51.80478,2023,4,66701.0,31752.88570162567,1200259.0795214502
-113.59329,51.80478,2023,5,66701.0,27087.141907445162,1023893.964101427
-113.59329,51.80478,2023,6,66701.0,26851.911031888998,1015002.2370054041
-113.59329,51.80478,2023,7,66701.0,28592.069459459257,1080780.2255675597
-113.59329,51.80478,2023,8,66701.0,30384.116244987064,1148519.5940605109
-113.59329,51.80478,2023,9,66701.0,29853.458893168798,1128460.7461617806
-112.018,53.6374,2006,1,64843.0,29444.411812231512,1112998.766502351
-112.018,53.6374,2006,2,64843.0,30810.902746970078,1164652.123835469
-112.018,53.6374,2006,3,64843.0,28852.992736166023,1090643.1254270757
-112.018,53.6374,2006,4,63955.0,23900.056337426846,903422.1295547348
-112.018,53.6374,2006,5,63955.0,22368.002339033243,845510.4884154564
-112.018,53.6374,2006,6,63955.0,22047.847382335414,833408.6310522787
-112.018,53.6374,2006,7,63955.0,23848.85389802384,901486.6773453011
-112.018,53.6374,2006,8,63955.0,24530.256330599088,927243.6892966453
-112.018,53.6374,2006,9,63955.0,26932.90210745395,1018063.6996617592
-112.018,53.6374,2006,10,63955.0,32134.439039044286,1214681.795675874
-112.018,53.6374,2006,11,64843.0,35720.517595879086,1350235.5651242293
-112.018,53.6374,2006,12,64843.0,34672.688206740226,1310627.6142147805
-112.018,53.6374,2007,1,64843.0,33946.43894641655,1283175.3921745452
-112.018,53.6374,2007,2,64843.0,36063.65603501857,1363206.1981237016
-112.018,53.6374,2007,3,64843.0,32357.236327643193,1223103.5331849128
-112.018,53.6374,2007,4,63955.0,26944.736383536147,1018511.0352976662
-112.018,53.6374,2007,5,63955.0,22433.17702373465,847974.0914971696
-112.018,53.6374,2007,6,63955.0,20963.874819352815,792434.4681715365
-112.018,53.6374,2007,7,63955.0,23210.183364482647,877344.931177444
-112.018,53.6374,2007,8,63955.0,26077.438592424543,985727.1787936477
-112.018,53.6374,2007,9,63955.0,27637.968735361905,1044715.21819668
-112.018,53.6374,2007,10,63955.0,29080.726875089764,1099251.475878393
-112.018,53.6374,2007,11,64843.0,32903.64060842358,1243757.6149984112
-112.018,53.6374,2007,12,64843.0,38102.7807877363,1440285.113776432
-112.018,53.6374,2008,1,64843.0,38956.00443202024,1472536.9675303649
-112.018,53.6374,2008,2,64843.0,39010.134859780286,1474583.0976996946
-112.018,53.6374,2008,3,64843.0,36581.10122758644,1382765.6264027674
-112.018,53.6374,2008,4,63955.0,31261.704042351106,1181692.4128008718
-112.018,53.6374,2008,5,63955.0,28185.44634513124,1065409.8718459608
-112.018,53.6374,2008,6,63955.0,28754.817929239027,1086932.117725235
-112.018,53.6374,2008,7,63955.0,28849.875216622804,1090525.283188342
-112.018,53.6374,2008,8,63955.0,30377.871650715642,1148283.5483970512
-112.018,53.6374,2008,9,63955.0,33061.29295037206,1249716.8735240635
-112.018,53.6374,2008,10,63955.0,37716.29161930738,1425675.8232098192
-112.018,53.6374,2008,11,64843.0,41705.13893266325,1576454.2516546706
-112.018,53.6374,2008,12,64843.0,49026.49811940717,1853201.628913591
-112.018,53.6374,2009,1,64843.0,48021.45931577357,1815211.162136241
-112.018,53.6374,2009,2,64843.0,48121.2715847022,1818984.065901743
-112.018,53.6374,2009,3,64843.0,46129.93764346226,1743711.6429228731
-112.018,53.6374,2009,4,63955.0,38319.03735268466,1448459.6119314802
-112.018,53.6374,2009,5,63955.0,37068.41772740132,1401186.19009577
-112.018,53.6374,2009,6,63955.0,35431.46208907765,1339309.266967135
-112.018,53.6374,2009,7,63955.0,35481.6247153639,1341205.4142407551
-112.018,53.6374,2009,8,63955.0,35903.31661425969,1357145.368019016
-112.018,53.6374,2009,9,63955.0,34457.752387857756,1302503.0402610232
-112.018,53.6374,2009,10,63955.0,42476.07677596635,1605595.7021315277
-112.018,53.6374,2009,11,66184.0,41274.64745503369,1560181.6738002736
-112.018,53.6374,2009,12,66184.0,49382.61522104757,1866662.855355598
-112.018,53.6374,2010,1,66184.0,46681.65504034081,1764566.5605248823
-112.018,53.6374,2010,2,66184.0,44075.01834250901,1666035.6933468406
-112.018,53.6374,2010,3,66184.0,41025.322372991366,1550757.1856990736
-112.018,53.6374,2010,4,77369.0,37786.48957124756,1428329.3057931578
-112.018,53.6374,2010,5,77369.0,38746.716499458125,1464625.883679517
-112.018,53.6374,2010,6,77369.0,37191.01124677769,1405820.2251281966
-112.018,53.6374,2010,7,77369.0,35322.2507859483,1335181.0797088458
-112.018,53.6374,2010,8,77369.0,35926.6930359919,1358028.9967604938
-112.018,53.6374,2010,9,77369.0,36743.92304805133,1388920.2912163401
-112.018,53.6374,2010,10,77369.0,39668.120286908,1499454.9468451224
-112.018,53.6374,2010,11,73020.0,48479.71288152198,1832533.1469215306
-112.018,53.6374,2010,12,73020.0,52197.38550582118,1973061.1721200405
-112.018,53.6374,2011,1,73020.0,52289.91432765634,1976558.7615854095
-112.018,53.6374,2011,2,73020.0,51419.18746522494,1943645.2861855025
-112.018,53.6374,2011,3,73020.0,50537.20322997038,1910306.28209288
-112.018,53.6374,2011,4,69478.0,43023.17085550724,1626275.8583381735
-112.018,53.6374,2011,5,69478.0,40849.065060431465,1544094.6592843095
-112.018,53.6374,2011,6,69478.0,40008.18535056,1512309.4062511676
