Date,Value,labels
2022-07-01,9583466600,2022-07-01T00:00:00
2022-08-01,9465357600,2022-08-01T00:00:00
2022-09-01,9232505500,2022-09-01T00:00:00
2022-10-01,9596754600,2022-10-01T00:00:00
2022-11-01,9342720100,2022-11-01T00:00:00
2022-12-01,9406691699,2022-12-01T00:00:00
2023-01-01,9720415200,2023-01-01T00:00:00
2023-02-01,8817080200,2023-02-01T00:00:00
2023-03-01,9712864100,2023-03-01T00:00:00
2023-04-01,9422563600,2023-04-01T00:00:00
2023-05-01,8512233800,2023-05-01T00:00:00
2023-06-01,8785532399,2023-06-01T00:00:00
2023-07-01,9727126299,2023-07-01T00:00:00
2023-08-01,9791405500,2023-08-01T00:00:00
2023-09-01,9221442100,2023-09-01T00:00:00
2023-10-01,9567778500,2023-10-01T00:00:00
2023-11-01,9651768499,2023-11-01T00:00:00
2023-12-01,10013424500,2023-12-01T00:00:00
