Month,Value,A,B,C,D,E,prod_%_diff,Affected_Plants_Count,Gas Plant Frac,Gas Plant Sweet,Gp Acid Gas Flaring,Gp Acid Gas Flaring%,Gp Acid Gas Inj,Gp Mainline Strdle,Gp Sulphur Rcvry,Avg Capacity (1000 m3/d),Year
9,8870063200,54,15,4,4,13,-1.094774917,117.0,0.0,15737.18,1977.6,0.0,2316.1,0.0,1117.0,0.0,2017
10,9143094400,35,20,3,4,9,3.07812012,74.0,0.0,9572.63,1122.6,1164.0,281.1,0.0,566.0,0.0,2017
11,9217832900,12,8,1,3,7,0.817431131,58.0,0.0,7334.5,200.0,0.0,0.0,0.0,0.0,15796840.3,2017
12,9544256300,14,6,2,3,3,3.541216287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017
1,9491330700,16,7,4,0,3,-0.554528277,10.0,0.0,1739.8,0.0,740.0,0.0,0.0,0.0,0.0,2018
2,8532434000,21,9,4,0,3,-10.10286893,5.0,0.0,400.0,400.0,0.0,612.0,0.0,0.0,0.0,2018
3,9505107100,28,10,4,0,3,11.39971431,14.0,0.0,2916.05,0.0,164.0,0.0,0.0,0.0,0.0,2018
4,9064061100,69,46,13,0,3,-4.640095007,20.0,0.0,3119.8,205.0,850.0,600.0,0.0,0.0,0.0,2018
5,9002809000,267,131,32,6,13,-0.675768834,79.0,0.0,10514.7,1982.6,566.0,612.0,0.0,0.0,0.0,2018
6,8641039600,196,99,38,8,13,-4.018405811,260.0,0.0,36862.22,3625.3,2390.0,893.1,0.0,1208.0,0.0,2018
7,9063169900,112,38,17,7,14,4.885179556,230.0,0.1,38549.69,3315.5,771.5,1810.0,0.0,1152.0,0.0,2018
8,9210779400,110,40,17,4,11,1.628674091,118.0,0.0,17850.87,50.0,1354.0,250.0,0.0,0.0,0.0,2018
9,8782362900,45,11,3,1,9,-4.651251337,63.0,0.0,7598.9,281.1,450.0,281.1,0.0,0.0,0.0,2018
10,9136385700,32,22,4,2,5,4.031065489,18.0,0.0,4259.0,400.0,0.0,400.0,0.0,0.0,0.0,2018
11,8990459900,11,11,2,2,6,-1.597193954,55.0,0.0,6293.3,1689.2,164.0,612.0,0.0,0.0,0.0,2018
12,9486306000,17,11,4,2,5,5.515247335,8.0,0.0,1568.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
1,9253893800,52,13,4,0,2,-2.449975786,17.0,0.0,5085.17,426.0,0.0,0.0,0.0,510.0,0.0,2019
2,7981058100,52,12,4,0,2,-13.75459593,6.0,0.0,337.8,155.0,0.0,0.0,0.0,0.0,0.0,2019
3,9223366400,66,17,5,0,1,15.56570926,12.0,0.0,2099.0,510.0,0.0,0.0,0.0,0.0,0.0,2019
4,8877068800,135,66,8,0,2,-3.754568397,36.0,0.0,3792.8,910.0,740.0,612.0,0.0,0.0,0.0,2019
5,8937726600,189,94,21,5,7,0.683308887,114.0,0.0,17884.6,1098.6,820.0,612.0,0.0,510.0,0.0,2019
